Level1,Level2,Level3,Level4,Level5,Level6,name_en,name_fi,name_en_us,position
Vehicles & Machinery,,,,,,Vehicles & Machinery,Vehicles & Machinery,Vehicles & Machinery,1
Real Estate,,,,,,Real Estate,Real Estate,Real Estate,2
Jobs,,,,,,Jobs,Jobs,Jobs,3
Market,,,,,,Market,Market,Market,4
Services,,,,,,Services,Services,Services,5
Vehicles & Machinery,Cars,,,,,Cars,Cars,Cars,6
Vehicles & Machinery,Vans,,,,,Vans,Vans,Vans,7
Vehicles & Machinery,Motorcycles,,,,,Motorcycles,Motorcycles,Motorcycles,8
Vehicles & Machinery,Motorcycles,Chopper & Cruiser,,,,Chopper & Cruiser,Chopper & Cruiser,Chopper & Cruiser,9
Vehicles & Machinery,Motorcycles,Combination & Sidecar,,,,Combination & Sidecar,Combination & Sidecar,Combination & Sidecar,10
Vehicles & Machinery,Motorcycles,Dirt Bike,,,,Dirt Bike,Dirt Bike,Dirt Bike,11
Vehicles & Machinery,Motorcycles,Lightweight Motorcycle & Motorbike,,,,Lightweight Motorcycle & Motorbike,Lightweight Motorcycle & Motorbike,Lightweight Motorcycle & Motorbike,12
Vehicles & Machinery,Motorcycles,Motorcycle,,,,Motorcycle,Motorcycle,Motorcycle,13
Vehicles & Machinery,Motorcycles,Pocketbike,,,,Pocketbike,Pocketbike,Pocketbike,14
Vehicles & Machinery,Motorcycles,Quad,,,,Quad,Quad,Quad,15
Vehicles & Machinery,Motorcycles,Racing,,,,Racing,Racing,Racing,16
Vehicles & Machinery,Motorcycles,Rally/Cross,,,,Rally/Cross,Rally/Cross,Rally/Cross,17
Vehicles & Machinery,Mobile homes,,,,,Mobile homes,Mobile homes,Mobile homes,18
Vehicles & Machinery,Mobile homes,Alcoves,,,,Alcoves,Alcoves,Alcoves,19
Vehicles & Machinery,Mobile homes,Caravan,,,,Caravan,Caravan,Caravan,20
Vehicles & Machinery,Mobile homes,Mobile home,,,,Mobile home,Mobile home,Mobile home,21
Vehicles & Machinery,Mobile homes,Motor home,,,,Motor home,Motor home,Motor home,22
Vehicles & Machinery,Mobile homes,Cabin,,,,Cabin,Cabin,Cabin,23
Vehicles & Machinery,Mobile homes,Van,,,,Van,Van,Van,24
Vehicles & Machinery,Trucks & Buses,,,,,Trucks & Buses,Trucks & Buses,Trucks & Buses,25
Vehicles & Machinery,Trucks & Buses,Trucks,,,,Trucks,Trucks,Trucks,26
Vehicles & Machinery,Trucks & Buses,Trucks over 7.5t,,,,Trucks over 7.5t,Trucks over 7.5t,Trucks over 7.5t,27
Vehicles & Machinery,Trucks & Buses,Trailers & Semitrailer,,,,Trailers & Semitrailer,Trailers & Semitrailer,Trailers & Semitrailer,28
Vehicles & Machinery,Trucks & Buses,Buses / Coaches,,,,Buses / Coaches,Buses / Coaches,Buses / Coaches,29
Vehicles & Machinery,"Boats, Yachts & aquatic vehicles",,,,,"Boats, Yachts & aquatic vehicles","Boats, Yachts & aquatic vehicles","Boats, Yachts & aquatic vehicles",30
Vehicles & Machinery,Machinery & plants,,,,,Machinery & plants,Machinery & plants,Machinery & plants,31
Vehicles & Machinery,Machinery & plants,Farming equipment,,,,Farming equipment,Farming equipment,Farming equipment,32
Vehicles & Machinery,Machinery & plants,Forest equipment,,,,Forest equipment,Forest equipment,Forest equipment,33
Vehicles & Machinery,Machinery & plants,Construction equipment,,,,Construction equipment,Construction equipment,Construction equipment,34
Vehicles & Machinery,Machinery & plants,Material handling,,,,Material handling,Material handling,Material handling,35
Vehicles & Machinery,Machinery & plants,Grounds care,,,,Grounds care,Grounds care,Grounds care,36
Vehicles & Machinery,Machinery & plants,"Plants, Plants equipment & parts",,,,"Plants, Plants equipment & parts","Plants, Plants equipment & parts","Plants, Plants equipment & parts",37
Vehicles & Machinery,Machinery & plants,"Plants, Plants equipment & parts",Entire plant,,,Entire plant,Entire plant,Entire plant,38
Vehicles & Machinery,Machinery & plants,"Plants, Plants equipment & parts",Plants equipment & parts,,,Plants equipment & parts,Plants equipment & parts,Plants equipment & parts,39
Real Estate,Residential,,,,,Residential,Residential,Residential,40
Real Estate,Residential,Flats / Apartments,,,,Flats / Apartments,Flats / Apartments,Flats / Apartments,41
Real Estate,Residential,House,,,,House,House,House,42
Real Estate,Residential,House,Detached house,,,Detached house,Detached house,Detached house,43
Real Estate,Residential,House,Semi-detached house,,,Semi-detached house,Semi-detached house,Semi-detached house,44
Real Estate,Residential,House,Bungalow,,,Bungalow,Bungalow,Bungalow,45
Real Estate,Residential,Condo,,,,Condo,Condo,Condo,46
Real Estate,Residential,Townhouse,,,,Townhouse,Townhouse,Townhouse,47
